x,y,z,date,scanner1,scanner2,scanner3,scanner4
2,2,1,2021-08-01 21:32:25.992000,-76,-79,-59,-70
2,2,1,2021-08-01 21:32:25.992000,-79,-77,-59,-71
2,2,1,2021-08-01 21:32:25.992000,-76,-70,-59,-70
2,2,1,2021-08-01 21:32:25.992000,-79,-75,-58,-70
2,2,1,2021-08-01 21:32:25.992000,-79,-255,-255,-69
2,2,1,2021-08-01 21:32:25.992000,-75,-255,-255,-255
2,2,1,2021-08-01 21:32:25.992000,-76,-66,-59,-51
2,2,1,2021-08-01 21:32:25.992000,-85,-75,-62,-46
2,2,1,2021-08-01 21:32:25.992000,-78,-255,-61,-51
2,2,1,2021-08-01 21:32:25.992000,-77,-255,-62,-52
2,2,1,2021-08-01 21:32:25.992000,-86,-255,-255,-46
2,2,1,2021-08-01 21:32:25.992000,-75,-255,-255,-255
2,2,1,2021-08-01 21:32:25.992000,-78,-255,-255,-255
2,2,1,2021-08-01 21:33:25.992000,-76,-82,-58,-63
2,2,1,2021-08-01 21:33:25.992000,-76,-71,-60,-71
2,2,1,2021-08-01 21:33:25.992000,-79,-75,-255,-71
2,2,1,2021-08-01 21:33:25.992000,-74,-70,-255,-70
2,2,1,2021-08-01 21:33:25.992000,-75,-75,-255,-255
2,2,1,2021-08-01 21:33:25.992000,-78,-255,-255,-255
2,2,1,2021-08-01 21:33:25.992000,-75,-65,-60,-46
2,2,1,2021-08-01 21:33:25.992000,-86,-73,-59,-51
2,2,1,2021-08-01 21:33:25.992000,-76,-66,-59,-76
2,2,1,2021-08-01 21:33:25.992000,-78,-79,-63,-53
2,2,1,2021-08-01 21:33:25.992000,-88,-255,-255,-51
2,2,1,2021-08-01 21:33:25.992000,-78,-255,-255,-255
2,2,1,2021-08-01 21:34:25.992000,-78,-75,-60,-71
2,2,1,2021-08-01 21:34:25.992000,-76,-70,-59,-71
2,2,1,2021-08-01 21:34:25.992000,-76,-74,-62,-71
2,2,1,2021-08-01 21:34:25.992000,-74,-81,-59,-72
2,2,1,2021-08-01 21:34:25.992000,-79,-255,-255,-71
2,2,1,2021-08-01 21:34:25.992000,-255,-255,-255,-64
2,2,1,2021-08-01 21:34:25.992000,-78,-74,-63,-50
2,2,1,2021-08-01 21:34:25.992000,-80,-73,-62,-51
2,2,1,2021-08-01 21:34:25.992000,-87,-77,-60,-51
2,2,1,2021-08-01 21:34:25.992000,-77,-66,-62,-51
2,2,1,2021-08-01 21:34:25.992000,-78,-74,-58,-47
2,2,1,2021-08-01 21:34:25.992000,-255,-65,-255,-78
1,2,1,2021-08-01 21:35:25.992000,-88,-88,-58,-255
1,2,1,2021-08-01 21:35:25.992000,-76,-77,-59,-255
1,2,1,2021-08-01 21:35:25.992000,-76,-81,-62,-255
1,2,1,2021-08-01 21:35:25.992000,-77,-79,-62,-255
