x,y,z,date,scanner1,scanner2,scanner3
1,2,1,2021-08-01 22:37:29.250000,-78,-46,-78
1,2,1,2021-08-01 22:37:29.250000,-77,-57,-78
1,2,1,2021-08-01 22:37:29.250000,-80,-55,-60
1,2,1,2021-08-01 22:37:29.250000,-77,-46,-70
1,2,1,2021-08-01 22:37:29.250000,-79,-45,-78
1,2,1,2021-08-01 22:37:29.250000,-255,-255,-78
1,2,1,2021-08-01 22:37:29.250000,-255,-255,-72
1,2,1,2021-08-01 22:37:29.250000,-68,-51,-65
1,2,1,2021-08-01 22:37:29.250000,-70,-56,-61
1,2,1,2021-08-01 22:37:29.250000,-67,-51,-64
1,2,1,2021-08-01 22:37:29.250000,-76,-56,-60
1,2,1,2021-08-01 22:37:29.250000,-70,-56,-64
1,2,1,2021-08-01 22:37:29.250000,-77,-255,-255
1,2,1,2021-08-01 22:38:29.250000,-78,-55,-77
1,2,1,2021-08-01 22:38:29.250000,-78,-72,-70
1,2,1,2021-08-01 22:38:29.250000,-80,-57,-77
1,2,1,2021-08-01 22:38:29.250000,-77,-46,-70
1,2,1,2021-08-01 22:38:29.250000,-78,-46,-62
1,2,1,2021-08-01 22:38:29.250000,-255,-45,-255
1,2,1,2021-08-01 22:38:29.250000,-71,-56,-64
1,2,1,2021-08-01 22:38:29.250000,-69,-62,-61
1,2,1,2021-08-01 22:38:29.250000,-77,-51,-60
1,2,1,2021-08-01 22:38:29.250000,-70,-62,-64
1,2,1,2021-08-01 22:38:29.250000,-71,-56,-60
1,2,1,2021-08-01 22:38:29.250000,-255,-62,-60
2,2,1,2021-08-01 22:39:29.250000,-70,-62,-61
2,2,1,2021-08-01 22:39:29.250000,-76,-55,-64
2,2,1,2021-08-01 22:39:29.250000,-71,-51,-60
2,2,1,2021-08-01 22:39:29.250000,-69,-62,-61
2,2,1,2021-08-01 22:39:29.250000,-76,-51,-60
2,2,1,2021-08-01 22:39:29.250000,-71,-56,-255
2,2,1,2021-08-01 22:39:29.250000,-255,-51,-255
2,2,1,2021-08-01 22:39:29.250000,-255,-61,-255
2,2,1,2021-08-01 22:39:29.250000,-80,-45,-62
2,2,1,2021-08-01 22:39:29.250000,-79,-57,-62
2,2,1,2021-08-01 22:39:29.250000,-77,-48,-62
2,2,1,2021-08-01 22:39:29.250000,-77,-57,-80
2,2,1,2021-08-01 22:39:29.250000,-80,-255,-83
2,2,1,2021-08-01 22:39:29.250000,-82,-255,-76
1,2,1,2021-08-01 22:40:29.250000,-76,-47,-77
1,2,1,2021-08-01 22:40:29.250000,-81,-55,-72
1,2,1,2021-08-01 22:40:29.250000,-82,-46,-62
1,2,1,2021-08-01 22:40:29.250000,-78,-44,-255
1,2,1,2021-08-01 22:40:29.250000,-79,-56,-255
1,2,1,2021-08-01 22:40:29.250000,-79,-44,-255
1,2,1,2021-08-01 22:40:29.250000,-75,-62,-59
1,2,1,2021-08-01 22:40:29.250000,-77,-62,-60
1,2,1,2021-08-01 22:40:29.250000,-72,-51,-65
1,2,1,2021-08-01 22:40:29.250000,-71,-62,-64
1,2,1,2021-08-01 22:40:29.250000,-75,-51,-60
1,2,1,2021-08-01 22:40:29.250000,-71,-62,-60
1,2,1,2021-08-01 22:40:29.250000,-71,-255,-255
1,2,1,2021-08-01 22:41:29.250000,-78,-44,-85
1,2,1,2021-08-01 22:41:29.250000,-81,-47,-78
1,2,1,2021-08-01 22:41:29.250000,-78,-56,-62
1,2,1,2021-08-01 22:41:29.250000,-255,-255,-72
1,2,1,2021-08-01 22:41:29.250000,-255,-255,-76
1,2,1,2021-08-01 22:41:29.250000,-75,-62,-60
1,2,1,2021-08-01 22:41:29.250000,-72,-55,-60
1,2,1,2021-08-01 22:41:29.250000,-74,-56,-60
1,2,1,2021-08-01 22:41:29.250000,-71,-62,-61
1,2,1,2021-08-01 22:41:29.250000,-71,-51,-60
1,2,1,2021-08-01 22:41:29.250000,-72,-62,-255
1,2,1,2021-08-01 22:41:29.250000,-96,-51,-255
1,2,1,2021-08-01 22:41:29.250000,-71,-255,-255
1,2,1,2021-08-01 22:41:29.250000,-71,-255,-255
3,2,1,2021-08-01 22:43:29.250000,-78,-69,-62
3,2,1,2021-08-01 22:43:29.250000,-84,-59,-59
3,2,1,2021-08-01 22:43:29.250000,-83,-59,-58
3,2,1,2021-08-01 22:43:29.250000,-78,-63,-61
3,2,1,2021-08-01 22:43:29.250000,-82,-69,-255
3,2,1,2021-08-01 22:43:29.250000,-255,-69,-255
3,2,1,2021-08-01 22:43:29.250000,-84,-72,-53
3,2,1,2021-08-01 22:43:29.250000,-80,-69,-57
3,2,1,2021-08-01 22:43:29.250000,-82,-69,-51
3,2,1,2021-08-01 22:43:29.250000,-83,-72,-53
3,2,1,2021-08-01 22:43:29.250000,-78,-71,-52
3,2,1,2021-08-01 22:43:29.250000,-82,-255,-56
3,2,1,2021-08-01 22:43:29.250000,-85,-255,-255
4,2,1,2021-08-01 22:44:29.250000,-81,-71,-56
4,2,1,2021-08-01 22:44:29.250000,-84,-68,-53
4,2,1,2021-08-01 22:44:29.250000,-84,-70,-57
4,2,1,2021-08-01 22:44:29.250000,-82,-69,-55
4,2,1,2021-08-01 22:44:29.250000,-85,-70,-56
4,2,1,2021-08-01 22:44:29.250000,-88,-72,-52
4,2,1,2021-08-01 22:44:29.250000,-255,-69,-57
4,2,1,2021-08-01 22:44:29.250000,-82,-58,-58
4,2,1,2021-08-01 22:44:29.250000,-82,-68,-63
4,2,1,2021-08-01 22:44:29.250000,-77,-59,-61
4,2,1,2021-08-01 22:44:29.250000,-255,-69,-61
4,2,1,2021-08-01 22:44:29.250000,-255,-63,-255
4,2,1,2021-08-01 22:44:29.250000,-255,-69,-255
4,2,1,2021-08-01 22:45:29.250000,-85,-69,-53
4,2,1,2021-08-01 22:45:29.250000,-81,-71,-53
